"name","required","dimensions","dimnames","bmtype","units","long_name","dtype","sumtype","inwc","insed","dissol","decay","partic","fill.value","passive","svel","xvel","psize","b_dens","i_conc","f_conc","wc.hor.pattern","wc.ver.pattern","sediment","wc.hor.scalar"
"Fish_Benthopelagic10_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic11_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic12_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic13_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic14_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic15_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic16_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 16",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic17_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 17",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic18_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 18",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic19_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 19",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic20_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 20",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Seal_Fish total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Seal_Fish1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish7_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish8_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish9_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish10_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Fish cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Fish1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish7_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish8_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish9_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish10_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Fish cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish7_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish8_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish9_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Fish10_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Fish cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Seal_Krill total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Seal_Krill1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill7_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill8_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill9_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill10_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Seal_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Seal_Krill1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill7_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill8_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill9_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill10_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Seal_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill7_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill8_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill9_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Seal_Krill10_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Seal_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Penguin_Krill total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Penguin_Krill1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill7_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill8_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill9_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill10_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill11_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill12_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill13_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill14_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill15_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Krill cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Krill1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill7_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill8_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill9_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill10_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill11_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill12_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill13_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill14_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill15_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Krill cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill7_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill8_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill9_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill10_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill11_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill12_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill13_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill14_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Krill15_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Penguin_Krill cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Penguin_Fish_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Penguin_Fish total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Penguin_Fish1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish7_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish8_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish9_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish10_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Penguin_Fish cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Penguin_Fish1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Penguin_Fish cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
